Day,Dark_red,red,orange,yellow
1985-03-31,0.0004787037037037037,0.0042040404040404045,0.03776978114478115,0.12944318181818182
1985-04-07,0.0003949494949494949,0.006480303030303031,0.032409006734006734,0.154378367003367
1985-04-14,0.0004086700336700337,0.005573484848484848,0.03816102693602694,0.11363249158249158
1985-04-21,0.0006222222222222223,0.003597895622895623,0.028751094276094277,0.11121102693602694
1985-04-28,0.0006977272727272727,0.003843097643097643,0.013903787878787878,0.10478131313131313
1985-05-05,0.0004047979797979798,0.0014707070707070708,0.008535690235690235,0.08995892255892256
1985-05-12,0.000259006734006734,0.0014516835016835017,0.009398653198653198,0.06431877104377104
1985-05-19,0.0001345117845117845,0.0008428451178451178,0.007009343434343434,0.052946969696969694
1985-05-26,8.636363636363636e-05,0.0006404882154882155,0.0023612794612794612,0.037725589225589225
1985-06-02,8.08080808080808e-06,2.239057239057239e-05,0.0005525252525252526,0.022179208754208753
1985-06-09,0.0,0.0001452861952861953,0.0041103535353535356,0.01698164983164983
1985-06-16,5.892255892255892e-06,6.085858585858586e-05,0.0004852693602693603,0.0149743265993266
1985-06-23,8.417508417508417e-06,6.313131313131313e-06,0.00041447811447811446,0.016734680134680133
1985-06-30,5.218855218855219e-06,6.228956228956229e-06,0.00021893939393939394,0.011789814814814815
1985-07-07,6.902356902356902e-06,0.0,0.0003797138047138047,0.007876515151515152
1985-07-14,5.723905723905724e-06,2.5252525252525253e-06,0.0004271885521885522,0.016058164983164983
1985-07-21,1.936026936026936e-06,0.0,0.00123510101010101,0.024438047138047137
1985-07-28,3.5353535353535352e-06,4.713804713804714e-06,0.0037730639730639733,0.0439983164983165
1985-08-04,3.5353535353535352e-06,4.5454545454545455e-06,0.011053535353535354,0.05309814814814815
1985-08-11,2.6936026936026934e-06,4.949494949494949e-05,0.005907575757575757,0.05335959595959596
1985-08-18,3.0303030303030305e-06,0.00038796296296296295,0.013177020202020202,0.057012626262626265
1985-08-25,2.2727272727272728e-06,0.0006556397306397306,0.010367087542087542,0.06845858585858586
1985-09-01,5.05050505050505e-07,0.00035993265993265993,0.005239309764309764,0.0673479797979798
1985-09-08,3.0387205387205387e-05,0.0002547979797979798,0.0038734006734006733,0.05398375420875421
1985-09-15,0.00017441077441077442,0.0003276094276094276,0.005657323232323232,0.0560212962962963
1985-09-22,0.0003898989898989899,0.0004787037037037037,0.0036242424242424244,0.044133501683501684
1985-09-29,0.0003523569023569024,0.00012954545454545453,0.0028978114478114478,0.04656119528619529
1985-10-06,0.00022306397306397305,7.65993265993266e-06,0.0030585016835016836,0.03494612794612795
1985-10-13,3.7205387205387206e-05,1.430976430976431e-06,0.0028887205387205387,0.030311363636363636
1985-10-20,3.4932659932659934e-05,2.8367003367003367e-05,0.0031682659932659933,0.03018375420875421
1985-10-27,3.1986531986531986e-06,5.555555555555556e-06,0.001302020202020202,0.025145707070707072
1985-11-03,0.0,0.0,0.00031523569023569025,0.019251767676767676
1985-11-10,0.0,0.0,0.0007975589225589226,0.0197246632996633
1985-11-17,0.0,4.208754208754209e-07,0.001140993265993266,0.017390656565656564
1985-11-24,0.0,0.0,0.002576094276094276,0.011943181818181818
1985-12-01,0.0,0.00015151515151515152,0.005623905723905724,0.02531919191919192
1985-12-08,1.0353535353535354e-05,0.000717003367003367,0.003577188552188552,0.01986161616161616
1985-12-15,0.00010723905723905724,0.001096969696969697,0.003432996632996633,0.018093013468013466
1985-12-22,0.000365993265993266,0.0011277777777777777,0.003968434343434343,0.0238010101010101
1985-12-29,0.00030244107744107745,0.0006146464646464647,0.0026124579124579125,0.030404545454545455
1986-01-05,0.0002042929292929293,0.0005764309764309764,0.009201094276094276,0.04039469696969697
1986-01-12,0.0005175925925925926,0.001276094276094276,0.013148316498316498,0.047350252525252524
1986-01-19,0.0004909932659932659,0.0010923400673400674,0.008509511784511785,0.06627988215488216
1986-01-26,0.0007505050505050505,0.001189983164983165,0.015657407407407408,0.07832516835016835
1986-02-02,0.0004725589225589226,0.000865993265993266,0.04106776094276094,0.10930580808080809
1986-02-09,0.0004680976430976431,0.0013058922558922559,0.044137205387205385,0.10023181818181819
1986-02-16,0.0011886363636363637,0.0034305555555555556,0.050442087542087545,0.1203452861952862
1986-02-23,0.0009527777777777778,0.0031005892255892256,0.03755740740740741,0.14051607744107744
1986-03-02,0.0007009259259259259,0.004099326599326599,0.04111902356902357,0.15078981481481482
1986-03-09,0.0004063973063973064,0.005181313131313131,0.04825681818181818,0.14620782828282827
1986-03-16,0.00046203703703703706,0.004838131313131313,0.027460269360269362,0.14094873737373736
1986-03-23,0.0007934343434343434,0.0044885521885521884,0.03096043771043771,0.14571489898989898
1986-03-30,0.0005581649831649831,0.0023784511784511785,0.02408198653198653,0.11386784511784512
1986-04-06,0.0009014309764309764,0.003426851851851852,0.023388636363636365,0.12851119528619528
1986-04-13,0.0011234848484848485,0.0038294612794612794,0.015383417508417508,0.11870968013468014
1986-04-20,0.0009055555555555556,0.001303956228956229,0.01300513468013468,0.10068939393939394
1986-04-27,0.000223989898989899,0.0003140572390572391,0.006127861952861953,0.09025395622895623
1986-05-04,0.00014132996632996634,0.00036877104377104375,0.010932996632996633,0.08240749158249158
1986-05-11,9.781144781144781e-05,0.0003195286195286195,0.008013720538720539,0.06758308080808081
1986-05-18,0.0,1.8602693602693603e-05,0.0055792929292929295,0.05309755892255892
1986-05-25,0.0,6.986531986531986e-06,0.0037731481481481483,0.03743223905723906
1986-06-01,0.0,1.531986531986532e-05,0.004824579124579125,0.028572558922558923
1986-06-08,0.0,0.0,0.004696717171717171,0.023463720538720537
1986-06-15,0.0,0.0,0.0022553872053872053,0.014476094276094276
1986-06-22,0.0,5.976430976430976e-06,0.0019627104377104377,0.014030723905723906
1986-06-29,0.0,1.1363636363636363e-05,0.003573063973063973,0.01728611111111111
1986-07-06,0.0,3.872053872053872e-06,0.0014609427609427609,0.012543771043771045
1986-07-13,0.0,0.0,0.0006388888888888889,0.010637121212121212
1986-07-20,0.0,1.6835016835016834e-05,0.0028215488215488217,0.02864503367003367
1986-07-27,0.0,0.00022356902356902356,0.003281060606060606,0.03724444444444444
1986-08-03,0.0,0.00018636363636363636,0.008372306397306397,0.05462744107744108
1986-08-10,0.0,0.00026481481481481484,0.013927777777777779,0.05553888888888889
1986-08-17,0.0,0.0008402356902356903,0.01806590909090909,0.06493813131313131
1986-08-24,8.501683501683501e-05,0.0020416666666666665,0.01864915824915825,0.06316750841750841
1986-08-31,0.0003919191919191919,0.003501094276094276,0.016164983164983163,0.06442929292929293
1986-09-07,0.0005752525252525252,0.0036877104377104376,0.013122390572390572,0.05603030303030303
1986-09-14,0.0016847643097643097,0.00402020202020202,0.014007912457912457,0.06466843434343435
1986-09-21,0.00229983164983165,0.00459436026936027,0.01052020202020202,0.05627314814814815
1986-09-28,0.0015306397306397307,0.0020592592592592594,0.006859848484848485,0.04879688552188552
1986-10-05,3.7626262626262624e-05,0.0001335016835016835,0.0054765151515151515,0.03712070707070707
1986-10-12,2.2727272727272728e-06,2.4494949494949495e-05,0.001826936026936027,0.030924410774410774
1986-10-19,0.0,8.501683501683502e-06,0.0013908249158249158,0.028454208754208753
1986-10-26,0.0,0.0,0.00017533670033670034,0.019403703703703704
1986-11-02,0.0,2.525252525252525e-07,0.000618013468013468,0.023722727272727274
1986-11-09,0.0,0.0,0.00045185185185185183,0.013874074074074073
1986-11-16,0.0,0.0,9.452861952861953e-05,0.013537794612794612
1986-11-23,0.0,0.0,0.0004186868686868687,0.014065740740740742
1986-11-30,0.0,0.0,0.0005998316498316499,0.01856590909090909
1986-12-07,0.0,0.0,0.002223063973063973,0.017743939393939395
1986-12-14,0.0,0.0,0.0005711279461279461,0.012936279461279461
1986-12-21,0.0,0.0,0.0028063131313131313,0.025905050505050504
1986-12-28,0.0,0.0,0.002397979797979798,0.04101388888888889
